Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
7.64321E+17,Ready to become a super-hero for your city? Share your 'green' selfie! RT &amp; spread the news #DoYourShare https://t.co/hmXHh4rPtE,Ola,Olacabs,Sat Aug 13 04:42:13 +0000 2016,28,93,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/CptmG9vVMAA3FJA.jpg ,0,1,0
7.64355E+17,#Mumbai has now clinched the second spot from #Delhi. Time to become the heroes for your city  #DoYourShare https://t.co/LlmopW0gQN,Ola,Olacabs,Sat Aug 13 06:56:39 +0000 2016,8,5,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/CpuIuIfVYAQkb-A.jpg ,0,3,0
7.64409E+17,"2 days to go, come on #Delhi and #Mumbai #DoYourShare to get past #Bengaluru https://t.co/xOmyx4W9IA",Ola,Olacabs,Sat Aug 13 10:30:43 +0000 2016,5,3,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/Cpul4zeUEAEF_Ko.jpg ,0,4,0
7.64469E+17,#Bengaluru is slowly inching towards finishing line of 400 tonnes of CO2 reduction. #Delhi &amp; #Mumbai  #DoYourShare https://t.co/ePziFstX9t,Ola,Olacabs,Sat Aug 13 14:28:48 +0000 2016,13,3,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/CpvwMVfUIAAxblx.jpg ,0,4,0
7.64679E+17,#Blr2Border #OlaOutstation https://t.co/x0zZ2w7PE8,Ola,Olacabs,Sun Aug 14 04:25:29 +0000 2016,0,2,Undetermined,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,2,0
7.6473E+17,Last leg! 100 kms to reach #amritsar. @Sriramsullia #Blr2Border #OlaOutstation https://t.co/pZ3U2op4Vg,Ola,Olacabs,Sun Aug 14 07:45:05 +0000 2016,0,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,Photo,https://pbs.twimg.com/media/CpwVDSHWYAAYsYu.jpg ,0,3,1
7.64738E+17,"Recharge your Ola Money on the Ola app using the code ""ASSAM"" to donate to the CM's Relief fund &amp; help rebuild Assam https://t.co/5sHgHx9z1m",Ola,Olacabs,Sun Aug 14 08:19:25 +0000 2016,14,16,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/CpzlTruVYAARl5k.jpg ,0,0,0
7.64764E+17,Yours truly is travelling to Wagah Border to salute the Jawans this Independence day!! #Blr2Border #OlaOutstation,Ola,Olacabs,Sun Aug 14 10:01:24 +0000 2016,0,3,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,,0,2,0
7.64771E+17,"One day more to go! Come on #Bengaluru, #Mumbai and #Delhi #DoYourShare to reduce CO2 emission. https://t.co/nwo9KY30Q1",Ola,Olacabs,Sun Aug 14 10:30:13 +0000 2016,6,3,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/CpzoWY3UsAEvK-f.jpg ,0,4,0
7.64792E+17,Every time you take an Ola Share you become a super hero for your city. #DoYourShare https://t.co/TyWlQNEo6l,Ola,Olacabs,Sun Aug 14 11:53:36 +0000 2016,10,2,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp0WUm_VYAEe5Jn.jpg https://pbs.twimg.com/media/Cp0WVVHVYAAt1VA.jpg ,0,1,0
